alt_files,brand,eans,file_urls,files,model,model_2,product,product_lang,product_parent,scrapfly,source,thumb_urls,thumbs,type,url,video
,Maytronics,,https://brand.maytronics.com/m/6e600f9135a5daf8/original/User-manual-8151457-EN.pdf,,Dolphin Wave 200 XL,,"
Large Hotels and Resorts Cleaners
",en,,,maytronics.com,,https://brand.maytronics.com/m/6553b67a4117aba1/EP_Large-DOLPHIN-WAVE-200-XL.jpg,Full Manual,https://www.maytronics.com/en-ca/store/commercial-pools/large-hotels-and-resorts-cleaners/dolphin-wave-200-xl/99997200.html?x2c=D2C,
,Maytronics,,https://brand.maytronics.com/m/2bd64237bffaa531/original/User-manual-8151668-EN.pdf,,Dolphin Z1B,,"
Best Seller Cleaners
",en,,,maytronics.com,,https://brand.maytronics.com/m/4dd432357929d69c/EP_Large-DOLPHIN-Z1B.jpg,Full Manual,https://www.maytronics.com/en-ca/store/residential-pools/best-seller-cleaners/dolphin-z1b/99996203.html?x2c=D2C,
,Maytronics,,https://brand.maytronics.com/m/5b66ca503a8a8ac8/original/UM-8151950.pdf,,Dolphin Wave 150,,"
Large Hotels and Resorts Cleaners
",en,,,maytronics.com,,https://brand.maytronics.com/m/22228707639a0a65/EP_Large-DOLPHIN-WAVE-150.jpg,Full Manual,https://www.maytronics.com/en-ca/store/commercial-pools/large-hotels-and-resorts-cleaners/dolphin-wave-150/99997150.html?x2c=D2C,
,Maytronics,,https://brand.maytronics.com/m/361ff3c1d9657285/original/UM-8152200.pdf,,Dolphin Wave 100,,"
Apartment Complexes and Condos Cleaners
",en,,,maytronics.com,,https://brand.maytronics.com/m/2fd1eb34e59a664a/EP_Large-DOLPHIN-WAVE-100-CB.jpg,Full Manual,https://www.maytronics.com/en-us/store/commercial-pools/apartment-complexes-and-condos-cleaners/dolphin-wave-100/9999096X-EU.html?x2c=D2C,
,Maytronics,,https://brand.maytronics.com/m/7d5ac674139de30e/original/UM-8151840.pdf,,Dolphin S200,,"
Best Value Cleaners
",en,,,maytronics.com,,https://brand.maytronics.com/m/1c326c98eef4a131/EP_Large-DOLPHIN-S200.jpg,Full Manual,https://www.maytronics.com/en-ca/store/residential-pools/best-value-cleaners/dolphin-s200/99996202.html?x2c=D2C,
,Maytronics,,https://brand.maytronics.com/m/2dc6c7aac9ab980/original/User-manual-8180034-EN.pdf,,Dolphin Proteus DX5i,,"
Best Seller Cleaners
",en,,,maytronics.com,,https://brand.maytronics.com/m/17555f513cfad91f/EP_Large-Dolphin-Proteus-DX5i.jpg,Full Manual,https://www.maytronics.com/en-ca/store/residential-pools/best-seller-cleaners/dolphin-proteus-dx5i/99996212-LSWIF.html?x2c=D2C,
,Maytronics,,https://brand.maytronics.com/m/7ce30cf45e748205/original/UM-8151940.pdf,,Dolphin POOLSTYLE ADVANCED,,"
Best Performance Cleaners
",en,,,maytronics.com,,https://brand.maytronics.com/m/67c6c8072a4666f9/EP_Large-DOLPHIN-POOLSTYLE-ADVANCED.jpg,Full Manual,https://www.maytronics.com/en-ca/store/residential-pools/best-performance-cleaners/dolphin-poolstyle-advanced/99996148.html?x2c=D2C,
,Maytronics,,https://brand.maytronics.com/m/2bd64237bffaa531/original/User-manual-8151668-EN.pdf,,Dolphin Quantum,,"
Best Seller Cleaners
",en,,,maytronics.com,,https://brand.maytronics.com/m/3a21194220387ddb/EP_Large-Dolphin-Quantum.jpg,Full Manual,https://www.maytronics.com/en-ca/store/residential-pools/best-seller-cleaners/dolphin-quantum/99996203-SPLSW.html?x2c=D2C,
,Maytronics,,https://brand.maytronics.com/m/568624a98ffc7e0d/original/User-manual-8180030-EN.pdf,,Dolphin POOLSTYLE 40i,,"
Best Value Cleaners
",en,,,maytronics.com,,https://brand.maytronics.com/m/138773f1d9b4fd14/EP_Large-DOLPHIN-POOLSTYLE-40i-IOT.jpg,Full Manual,https://www.maytronics.com/en-us/store/residential-pools/best-value-cleaners/dolphin-poolstyle-40i/99996235-PLSI.html?x2c=D2C,
,Maytronics,,https://brand.maytronics.com/m/1b65304e607d466e/original/User-manual-8180031-EN.pdf,,Dolphin T55i,,"
Best Seller Cleaners
",en,,,maytronics.com,,https://brand.maytronics.com/m/24d4523c98ae8754/EP_Large-Dolphin-T55i.jpg,Full Manual,https://www.maytronics.com/en-ca/store/residential-pools/best-seller-cleaners/dolphin-t55i/99996245-WINI.html?x2c=D2C,
,Maytronics,,https://brand.maytronics.com/m/1b65304e607d466e/original/User-manual-8180031-EN.pdf,,Dolphin T45,,"
All Products
",en,,,maytronics.com,,https://brand.maytronics.com/m/10001d19fa317c32/EP_Large-Dolphin-T45.jpg,Full Manual,https://www.maytronics.com/en-ca/store/dolphin-t45/99996241-WINI.html?x2c=D2C,
,Maytronics,,https://brand.maytronics.com/m/568624a98ffc7e0d/original/User-manual-8180030-EN.pdf,,Dolphin Active 30,,"
Best Seller Cleaners
",en,,,maytronics.com,,https://brand.maytronics.com/m/b32faedacdc29b6/oEP_Large-Dolphin-Active-30.jpg,Full Manual,https://www.maytronics.com/en-ca/store/residential-pools/best-seller-cleaners/dolphin-active-30/99996231-USWI.html?x2c=D2C,
,Maytronics,,https://brand.maytronics.com/m/649fdcb0372574c3/original/User-manual-8180033-EN.pdf,,Dolphin S300,,"
Best Seller Cleaners
",en,,,maytronics.com,,https://brand.maytronics.com/m/65a2f62ef7f218ac/EP_Large-Dolphin-S300.jpg,Full Manual,https://www.maytronics.com/en-ca/store/residential-pools/best-seller-cleaners/dolphin-s300/99996221-USWI.html?x2c=D2C,
,Maytronics,,https://brand.maytronics.com/m/2dc6c7aac9ab980/original/User-manual-8180034-EN.pdf,,Dolphin E35i,,"
Best Value Cleaners
",en,,,maytronics.com,,https://brand.maytronics.com/m/18600a530a57085b/EP_Large-DOLPHIN-E35i-EU.jpg,Full Manual,https://www.maytronics.com/en-ca/store/residential-pools/best-value-cleaners/dolphin-e35i/99996212-E35I.html?x2c=D2C,
,Maytronics,,https://brand.maytronics.com/m/6aca6d3942d655b1/original/UM-8151800.pdf,,Dolphin Proteus DX4,,"
Best Seller Cleaners
",en,,,maytronics.com,,https://brand.maytronics.com/m/312d2325227e21d/oEP_Large-Dolphin-Proteus-DX4.jpg,Full Manual,https://www.maytronics.com/en-ca/store/residential-pools/best-seller-cleaners/dolphin-proteus-dx4/99996207-LSWF.html?x2c=D2C,
,Maytronics,,https://brand.maytronics.com/m/6aca6d3942d655b1/original/UM-8151800.pdf,,Dolphin Triton PS,,"
Best Seller Cleaners
",en,,,maytronics.com,,https://brand.maytronics.com/m/9ed68e280b85a4f/EP_Large-Dolphin-Triton-PS.webp,Full Manual,https://www.maytronics.com/en-us/store/residential-pools/best-seller-cleaners/dolphin-triton-ps/99996207-USWF.html?x2c=D2C,
,Maytronics,,https://brand.maytronics.com/m/4fc85330da8576b0/original/User-manual-8180035-EN.pdf,,Dolphin Sigma,,"
Best Performance Cleaners
",en,,,maytronics.com,,https://brand.maytronics.com/m/3b41b1f63de46e30/EP_Large-Dolphin-Sigma.jpg,Full Manual,https://www.maytronics.com/en-ca/store/residential-pools/best-performance-cleaners/dolphin-sigma/99991036-SPLI.html?x2c=D2C,
,Maytronics,,https://brand.maytronics.com/m/29de184d3f07aa7b/original/UM-8151910.pdf,,Dolphin T25,,"
Best Value Cleaners
",en,,,maytronics.com,,https://brand.maytronics.com/m/20010e5bed2ea771/EP_Large-Dolphin-T25.jpg,Full Manual,https://www.maytronics.com/en-us/store/residential-pools/best-value-cleaners/dolphin-t25/99996137-WINF.html?x2c=D2C,
,Maytronics,,https://brand.maytronics.com/m/5f4bf215dd5c6cf9/original/UM-8151920.pdf,,Dolphin Escape,,"
Best Value Cleaners
",en,,,maytronics.com,,https://brand.maytronics.com/m/fb7199a5b0528e1/oEP_Large-Dolphin-Escape.jpg,Full Manual,https://www.maytronics.com/en-ca/store/residential-pools/best-value-cleaners/dolphin-escape/99996153-SPLF.html?x2c=D2C,
,Maytronics,,https://brand.maytronics.com/m/29de184d3f07aa7b/original/UM-8151910.pdf,,Dolphin T15,,"
Best Value Cleaners
",en,,,maytronics.com,,https://brand.maytronics.com/m/4ffb44d516ee2b7d/EP_Large-Dolphin-T15.jpg,Full Manual,https://www.maytronics.com/en-us/store/residential-pools/best-value-cleaners/dolphin-t15/99996134-WINF.html?x2c=D2C,
,Maytronics,,https://brand.maytronics.com/m/4e0708b685264a06/original/User-manual-8181000-EN.pdf,,Dolphin Zenit 70,,"
Best Performance Cleaners
",en,,,maytronics.com,,https://brand.maytronics.com/m/66a2f17bbdb48992/EP_Large-DOLPHIN-ZENIT-70.jpg,Full Manual,https://www.maytronics.com/en-us/store/residential-pools/best-performance-cleaners/dolphin-zenit-70/99996711-ZEN.html?x2c=D2C,
,Maytronics,,https://brand.maytronics.com/m/25734c72284ac24c/original/User-manual-8180002-EN.pdf,,Dolphin Premium 60,,"
Residential Pools
",en,,,maytronics.com,,https://brand.maytronics.com/m/5ffff5fe63ed8caf/EP_Large-Dolphin-Premium-60.png,Full Manual,https://www.maytronics.com/en-ca/store/residential-pools/dolphin-premium-60/99996612-PR6.html?x2c=D2C,
,Maytronics,,https://brand.maytronics.com/m/25734c72284ac24c/original/User-manual-8180002-EN.pdf,,Dolphin Zenit 60,,"
Best Performance Cleaners
",en,,,maytronics.com,,https://brand.maytronics.com/m/6a9fc7e97c3a1170/EP_Large-DOLPHIN-ZENIT-60.jpg,Full Manual,https://www.maytronics.com/en-us/store/residential-pools/best-performance-cleaners/dolphin-zenit-60/99996611-ZEN.html?x2c=D2C,
,Maytronics,,https://brand.maytronics.com/m/25734c72284ac24c/original/User-manual-8180002-EN.pdf,,Dolphin POOLSTYLE 60i,,"
Best Value Cleaners
",en,,,maytronics.com,,https://brand.maytronics.com/m/32c622245776b51f/EP_Large-DOLPHIN-POOLSTYLE-60i.jpg,Full Manual,https://www.maytronics.com/en-ca/store/residential-pools/best-value-cleaners/dolphin-poolstyle-60i/99996612-PLS.html?x2c=D2C,
,Maytronics,,https://brand.maytronics.com/m/1b65304e607d466e/original/User-manual-8180031-EN.pdf,,Dolphin Explorer E30 with Wi-Fi,,"
Best Value Cleaners
",en,,,maytronics.com,,https://brand.maytronics.com/m/48317b478fb0193d/EP_Large-Dolphin-Explorer-E30.png,Full Manual,https://www.maytronics.com/en-ca/store/residential-pools/best-value-cleaners/dolphin-explorer-e30-with-wi-fi/99996241-XPI.html?x2c=D2C,
,Maytronics,,https://manuals.maytronics.com/images/pdfs/8181010-EN.pdf,,Dolphin POOLSTYLE 50i,,"
Best Value Cleaners
",en,,,maytronics.com,,https://brand.maytronics.com/m/3b649e068eeee88/oEP_Large-DOLPHIN-POOLSTYLE-50i-IOT.jpg,Full Manual,https://www.maytronics.com/en-ca/store/residential-pools/best-value-cleaners/dolphin-poolstyle-50i/99996271-PLS.html?x2c=D2C,
,Maytronics,,https://brand.maytronics.com/m/1b65304e607d466e/original/User-manual-8180031-EN.pdf,,Dolphin Premium 40,,"
Residential Pools
",en,,,maytronics.com,,https://brand.maytronics.com/m/762ab3b690497d/EP_Large-Dolphin-Premium-40.png,Full Manual,https://www.maytronics.com/en-ca/store/residential-pools/dolphin-premium-40/99996241-PR4.html?x2c=D2C,
,Maytronics,,https://brand.maytronics.com/m/568624a98ffc7e0d/original/User-manual-8180030-EN.pdf,,Dolphin Blue Maxi 35i,,"
Home
",en,,,maytronics.com,,https://brand.maytronics.com/m/6116ca90ac620517/EP_Large-Dolphin-Blue-Maxi-35i.jpg,Full Manual,https://www.maytronics.com/en-us/robotic-pool-cleaners/dolphin-residential-pool-cleaners/best-seller/dolphin-blue-maxi-35i/99996233-BMI.html?x2c=D2C,
