alt_files,brand,eans,file_urls,files,model,model_2,product,product_lang,product_parent,scrapfly,source,thumb_urls,thumbs,type,url,video
,R-Go Tools,8719274491927,https://www.r-go-tools.nl/wp-content/uploads/2024/03/twister_manual.pdf,,Twister Ambidexter,,Ergonomische muizen,en,,,r-go-tools.com,https://www.r-go-tools.nl/wp-content/uploads/2023/09/01-TWISTER-WEB.png.webp,,Manual,https://www.r-go-tools.nl/ergonomische-muis/r-go-twister-ambidexter-muis/,
,R-Go Tools,8719322680723,https://www.r-go-tools.nl/wp-content/uploads/2023/07/mor_notebook_manual.pdf,,Morelia Laptophouder,,Ergonomische accessoires,en,,,r-go-tools.com,https://www.r-go-tools.nl/wp-content/uploads/RGOVLMONH-1.jpg.webp,,Manual,https://www.r-go-tools.nl/ergonomische-accessoires/r-go-morelia-laptophouder/,
,R-Go Tools,8719274491712,https://www.r-go-tools.nl/wp-content/uploads/2023/07/ridoc_manual.pdf,,Riser Document,,Riser Laptopstandaards,en,,,r-go-tools.com,https://www.r-go-tools.nl/wp-content/uploads/2023/04/01-RGORIDOCBL-WEB-1.jpg.webp,,Manual,https://www.r-go-tools.nl/ergonomische-laptopstandaard/r-go-riser-document-laptopstandaard/,
,R-Go Tools,8719274490555,https://www.r-go-tools.nl/wp-content/uploads/2023/07/riatt_manual.pdf,,Riser Attachable,,Riser Laptopstandaards,en,,,r-go-tools.com,https://www.r-go-tools.nl/wp-content/uploads/RGORIATBL-1.jpg.webp,,Manual,https://www.r-go-tools.nl/ergonomische-laptopstandaard/r-go-riser-attachable-laptopstandaard/,
,R-Go Tools,8719274491576,https://www.r-go-tools.nl/wp-content/uploads/2023/07/flexread_manual.pdf,,Flex Read,,Documenthouders,en,,,r-go-tools.com,https://www.r-go-tools.nl/wp-content/uploads/2023/04/01-RGODOFRTR-WEB.jpg.webp,,Manual,https://www.r-go-tools.nl/ergonomische-documenthouder/r-go-flex-read-documenthouder/,
,R-Go Tools,8719274491118,https://www.r-go-tools.nl/wp-content/uploads/RGO-Caparo-Monitor-arm-manual.pdf,,Dubbele monitorarm,,Monitorarmen,en,,,r-go-tools.com,https://www.r-go-tools.nl/wp-content/uploads/RGOVLZE4TWSI-1.jpg.webp,,Manual,https://www.r-go-tools.nl/circulaire-monitorarm/r-go-dubbele-monitorarm-zepher/,
,R-Go Tools,8719274490197,https://www.r-go-tools.nl/wp-content/uploads/2023/07/armrest_manual.pdf,,Ergonomische Armsteun,,Ergonomische accessoires,en,,,r-go-tools.com,https://www.r-go-tools.nl/wp-content/uploads/2023/04/RGOARMC-1.jpg.webp,,Manual,https://www.r-go-tools.nl/ergonomische-accessoires/r-go-ergonomische-armsteun/,
,R-Go Tools,8719322680747,https://www.r-go-tools.nl/wp-content/uploads/2023/07/mor_doc_manual.pdf,,Morelia Documenthouder,,Ergonomische accessoires,en,,,r-go-tools.com,https://www.r-go-tools.nl/wp-content/uploads/RGOVLMODH-1.jpg,,Manual,https://www.r-go-tools.nl/ergonomische-accessoires/r-go-morelia-documenthouder/,
,R-Go Tools,8719274491088,https://www.r-go-tools.nl/wp-content/uploads/RGO-Caparo-Monitor-arm-manual.pdf,,Enkele monitorarm,,Monitorarmen,en,,,r-go-tools.com,https://www.r-go-tools.nl/wp-content/uploads/RGOVLZE4SI-1.jpg.webp,,Manual,https://www.r-go-tools.nl/circulaire-monitorarm/r-go-enkele-monitorarm-zepher/,
,R-Go Tools,8719274491842,https://www.r-go-tools.nl/wp-content/uploads/2024/03/hebasic_manual.pdf,,HE Basic,,Ergonomische muizen,en,,,r-go-tools.com,https://www.r-go-tools.nl/wp-content/uploads/2023/06/01-RGOHEBAMRWL-WEB.jpg.webp,,Manual,https://www.r-go-tools.nl/ergonomische-muis/r-go-he-basic-verticale-muis/,
,R-Go Tools,8719274491019,https://www.r-go-tools.nl/wp-content/uploads/RGO-Caparo-Monitor-arm-manual.pdf,,Enkele monitorarm,,Monitorarmen,en,,,r-go-tools.com,https://www.r-go-tools.nl/wp-content/uploads/RGOVLCA4SI-1.jpg,,Manual,https://www.r-go-tools.nl/circulaire-monitorarm/r-go-enkele-monitorarm-caparo/,
,R-Go Tools,8719274490845,https://www.r-go-tools.nl/wp-content/uploads/2024/05/splitarmrest_manual.pdf,,Split Armrest,,Ergonomische accessoires,en,,,r-go-tools.com,https://www.r-go-tools.nl/wp-content/uploads/2024/05/01-RGOARMCSPLIT-web-2.jpg,,Manual,https://www.r-go-tools.nl/ergonomische-accessoires/r-go-split-armrest/,
