alt_files,brand,eans,file_urls,files,model,model_2,product,product_lang,product_parent,scrapfly,source,thumb_urls,thumbs,type,url,video
,VANKYO,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/LEISURE_3_V1.01_EN.pdf?v=1658474430,,Leisure 3,,HOME THEATER PROJECTORS,en,,,ivankyo.com,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/home-vistaT4222.png?v=1698303781,User Manual,https://ivankyo.com/collections/home-theater-projector/products/vankyo-leisure-3-projector,
,VANKYO,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/Leisure_3_720P__V2.02_EN.pdf?v=1658473866,,Leisure 3,,HOME THEATER PROJECTORS,en,,,ivankyo.com,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/home-vistaT4222.png?v=1698303781,User Manual,https://ivankyo.com/collections/home-theater-projector/products/vankyo-leisure-3-pro-portable-video-projector-1080p,
,VANKYO,,[None],,Performance V700W,,HOME THEATER PROJECTORS,en,,,ivankyo.com,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/home-vistaT4222.png?v=1698303781,User Manual,https://ivankyo.com/collections/home-theater-projector/products/vankyo-v700w-1080p-projector,
,VANKYO,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/Leisure_495W_User_Manual_V1.01_EN.pdf?v=1622694453,,Leisure 495W,,HOME THEATER PROJECTORS,en,,,ivankyo.com,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/home-vistaT4222.png?v=1698303781,User Manual,https://ivankyo.com/collections/home-theater-projector/products/vankyo-leisure-495w-dolby-movie-projector,
,VANKYO,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/Leisure_E30T_User_Manual_V1.01_EN.pdf?v=1646291310,,Leisure E30,,HOME THEATER PROJECTORS,en,,,ivankyo.com,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/home-vistaT4222.png?v=1698303781,User Manual,https://ivankyo.com/collections/home-theater-projector/products/mini-projector-1080p-leisure-e30,
,VANKYO,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/Leisure_470_Pro_Manual.pdf?v=1658141239,,Leisure 470,,HOME THEATER PROJECTORS,en,,,ivankyo.com,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/home-vistaT4222.png?v=1698303781,User Manual,https://ivankyo.com/collections/home-theater-projector/products/vankyo-leisure-470-pro-outdoor-projector,
,VANKYO,,[None],,LEISURE 530W,,HOME THEATER PROJECTORS,en,,,ivankyo.com,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/home-vistaT4222.png?v=1698303781,User Manual,https://ivankyo.com/collections/home-theater-projector/products/vankyo-leisure-530w-projector,
,VANKYO,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/GO200_User_Manual_V3.03__EN.pdf?v=1622011616,,GO200 Smart,,HOME THEATER PROJECTORS,en,,,ivankyo.com,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/home-vistaT4222.png?v=1698303781,User Manual,https://ivankyo.com/collections/home-theater-projector/products/vankyo-go200-portable-outdoor-dlp-pico-projector,
,VANKYO,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/Miracle_120_User_Manual_V1.02_EN.pdf?v=1622694574,,Miracle 120,,HOME THEATER PROJECTORS,en,,,ivankyo.com,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/home-vistaT4222.png?v=1698303781,User Manual,https://ivankyo.com/collections/home-theater-projector/products/vankyo-miracle-120-mini-projector-for-outdoor-movies,
,VANKYO,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/Performance_V630W_V1.06_EN.pdf?v=1614373889,,Performance V630W,,Gaming Projector,en,,,ivankyo.com,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/home-vistaT4222.png?v=1698303781,User Manual,https://ivankyo.com/collections/gaming-projector/products/vankyo-performance-v630w-native-1080p-projector-hd-wifi-projector,
,VANKYO,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/Leisure_470_Pro_Manual.pdf?v=1658141239,,Leisure 470,,Pre-School Projector,en,,,ivankyo.com,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/home-vistaT4222.png?v=1698303781,User Manual,https://ivankyo.com/collections/mini-projector/products/vankyo-leisure-470-pro-outdoor-projector,
,VANKYO,,[None],,Leisure 480W,,HOME THEATER PROJECTORS,en,,,ivankyo.com,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/home-vistaT4222.png?v=1698303781,User Manual,https://ivankyo.com/collections/home-theater-projector/products/leisure-480w-1080p-mini-projector,
,VANKYO,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/Leisure_E30T_User_Manual_V1.01_EN.pdf?v=1646291310,,Leisure E30,,Gaming Projector,en,,,ivankyo.com,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/home-vistaT4222.png?v=1698303781,User Manual,https://ivankyo.com/collections/gaming-projector/products/mini-projector-1080p-leisure-e30,
,VANKYO,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/Leisure_470_Pro_Manual.pdf?v=1658141239,,Leisure 470,,Gaming Projector,en,,,ivankyo.com,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/home-vistaT4222.png?v=1698303781,User Manual,https://ivankyo.com/collections/gaming-projector/products/vankyo-leisure-470-pro-outdoor-projector,
,VANKYO,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/Leisure_530W_E30WT_E30WQ_User_Manual_V3.03_EN.pdf?v=1622772375,,Leisure E30WT,,Gaming Projector,en,,,ivankyo.com,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/home-vistaT4222.png?v=1698303781,User Manual,https://ivankyo.com/collections/gaming-projector/products/vankyo-leisure-e30wt-native-1080p-full-hd-video-projector-5g-wifi-projector-supports-4k-lcd-portable-projector-compatible-with-tv-stick-hdmi-usb-laptop-ios-android,
,VANKYO,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/GO200_User_Manual_V3.03__EN.pdf?v=1622011616,,GO200 Smart,,Outdoor Projector,en,,,ivankyo.com,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/home-vistaT4222.png?v=1698303781,User Manual,https://ivankyo.com/collections/outdoor-projector/products/vankyo-go200-portable-outdoor-dlp-pico-projector,
,VANKYO,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/GO200_User_Manual_V3.03__EN.pdf?v=1622011616,,GO200 Smart,,Pre-School Projector,en,,,ivankyo.com,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/home-vistaT4222.png?v=1698303781,User Manual,https://ivankyo.com/collections/mini-projector/products/vankyo-go200-portable-outdoor-dlp-pico-projector,
,VANKYO,,[None],,Leisure 330W,,Pre-School Projector,en,,,ivankyo.com,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/home-vistaT4222.png?v=1698303781,User Manual,https://ivankyo.com/collections/mini-projector/products/vankyo-leisure-330w-wireless-mini-projector,
,VANKYO,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/Leisure_3_720P__V2.02_EN.pdf?v=1658473866,,Leisure 3,,Pre-School Projector,en,,,ivankyo.com,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/home-vistaT4222.png?v=1698303781,User Manual,https://ivankyo.com/collections/mini-projector/products/vankyo-leisure-3-pro-portable-video-projector-1080p,
,VANKYO,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/Leisure_495W_User_Manual_V1.01_EN.pdf?v=1622694453,,Leisure 495W,,Gaming Projector,en,,,ivankyo.com,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/home-vistaT4222.png?v=1698303781,User Manual,https://ivankyo.com/collections/gaming-projector/products/vankyo-leisure-495w-dolby-movie-projector,
,VANKYO,,[None],,Leisure 410,,Pre-School Projector,en,,,ivankyo.com,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/home-vistaT4222.png?v=1698303781,User Manual,https://ivankyo.com/collections/mini-projector/products/leisure-410-1080p-mini-portable-projector,
,VANKYO,,[None],,Leisure 330W,,Outdoor Projector,en,,,ivankyo.com,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/home-vistaT4222.png?v=1698303781,User Manual,https://ivankyo.com/collections/outdoor-projector/products/vankyo-leisure-330w-wireless-mini-projector,
,VANKYO,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/Leisure_3_720P__V2.02_EN.pdf?v=1658473866,,Leisure 3,,Outdoor Projector,en,,,ivankyo.com,,https://cdn.shopify.com/s/files/1/0268/7015/3313/files/home-vistaT4222.png?v=1698303781,User Manual,https://ivankyo.com/collections/outdoor-projector/products/vankyo-leisure-3-pro-portable-video-projector-1080p,
